# BW_elec	BER_teo_H	BER_teo_S	BER_est_H	BER_est_S	BER_count_H	BER_count_S
5.000000e+08	0.000000e+00	2.537653e-16	1.998631e-02	3.167157e-03	3.358034e-01	1.272013e-02
5.923055e+08	0.000000e+00	2.537653e-16	2.036970e-02	5.392952e-03	3.337133e-01	7.000070e-03
7.016517e+08	0.000000e+00	2.537653e-16	5.678891e-02	1.602322e-02	3.060031e-01	1.530015e-03
8.311844e+08	0.000000e+00	2.537653e-16	1.309657e-02	1.929334e-03	2.465325e-01	1.700017e-04
9.846302e+08	4.567775e-15	2.537653e-16	2.328968e-02	3.875507e-03	3.671037e-02	0.000000e+00
1.166404e+09	5.425501e-13	2.537653e-16	4.038418e-05	3.451155e-08	2.000020e-04	0.000000e+00
1.381735e+09	3.109081e-11	2.537653e-15	7.549129e-07	4.104424e-10	0.000000e+00	0.000000e+00
1.636819e+09	9.585247e-10	3.784274e-13	5.583043e-08	9.818831e-11	0.000000e+00	0.000000e+00
1.938993e+09	1.749856e-08	2.426389e-11	3.037448e-08	1.255774e-10	0.000000e+00	0.000000e+00
2.296953e+09	2.051653e-07	8.076304e-10	5.149656e-08	6.030388e-10	0.000000e+00	0.000000e+00
2.720996e+09	1.654477e-06	1.527431e-08	3.003812e-07	5.185673e-09	0.000000e+00	0.000000e+00
3.223322e+09	9.722153e-06	1.853050e-07	1.744879e-06	5.209690e-08	0.000000e+00	0.000000e+00
3.818383e+09	4.370760e-05	1.525047e-06	8.898863e-06	4.118846e-07	0.000000e+00	0.000000e+00
4.523299e+09	1.566228e-04	9.048550e-06	3.722225e-05	2.603193e-06	2.200022e-04	0.000000e+00
5.358350e+09	4.630589e-04	4.074269e-05	1.170944e-04	1.083793e-05	2.300023e-04	0.000000e+00
6.347561e+09	1.162723e-03	1.453639e-04	3.063532e-04	3.697830e-05	4.900049e-04	0.000000e+00
7.519391e+09	2.540446e-03	4.261750e-04	6.476461e-04	9.422273e-05	6.200062e-04	0.000000e+00
8.907553e+09	4.928879e-03	1.058559e-03	1.362094e-03	2.405485e-04	9.200092e-04	0.000000e+00
1.055199e+10	8.636779e-03	2.285466e-03	2.200083e-03	4.299942e-04	1.520015e-03	0.000000e+00
1.250000e+10	1.386320e-02	4.382181e-03	3.346349e-03	7.154651e-04	1.970020e-03	0.000000e+00
