# BW_elec	BER_teo_H	BER_teo_S	BER_est_H	BER_est_S	BER_count_H	BER_count_S
5.000000e+08	0.000000e+00	2.368476e-16	2.813640e-02	6.094760e-03	3.234400e-01	1.580000e-02
5.923055e+08	0.000000e+00	2.368476e-16	1.293936e-02	1.018468e-03	2.872900e-01	8.290000e-03
7.016517e+08	0.000000e+00	2.368476e-16	4.974331e-03	4.330300e-04	2.839700e-01	3.180000e-03
8.311844e+08	0.000000e+00	2.368476e-16	4.937755e-03	1.172277e-03	2.847700e-01	1.960000e-03
9.846302e+08	0.000000e+00	2.368476e-16	2.011997e-02	5.601494e-03	2.840500e-01	5.300000e-04
1.166404e+09	0.000000e+00	2.368476e-16	2.302418e-03	2.560544e-04	2.532400e-01	0.000000e+00
1.381735e+09	0.000000e+00	2.368476e-16	9.367319e-03	2.253549e-03	2.109700e-01	0.000000e+00
1.636819e+09	0.000000e+00	2.368476e-16	8.004105e-07	4.512290e-11	2.500000e-04	0.000000e+00
1.938993e+09	0.000000e+00	2.368476e-16	4.984206e-09	1.871096e-13	0.000000e+00	0.000000e+00
2.296953e+09	4.736952e-15	2.368476e-16	1.203802e-10	3.546792e-14	0.000000e+00	0.000000e+00
2.720996e+09	5.854872e-13	7.105427e-16	1.819463e-11	3.718507e-14	1.200000e-04	0.000000e+00
3.223322e+09	3.187968e-11	4.867218e-14	1.321704e-11	4.511946e-14	0.000000e+00	0.000000e+00
3.818383e+09	9.397534e-10	4.650443e-12	2.030826e-10	2.371140e-12	0.000000e+00	0.000000e+00
4.523299e+09	1.649517e-08	1.699651e-10	2.198488e-09	5.485289e-11	0.000000e+00	0.000000e+00
5.358350e+09	1.867799e-07	4.479632e-09	1.646923e-08	6.990795e-10	0.000000e+00	0.000000e+00
6.347561e+09	1.459680e-06	6.379211e-08	1.827864e-07	9.078029e-09	0.000000e+00	0.000000e+00
7.519391e+09	8.333744e-06	6.001307e-07	1.269003e-06	9.715536e-08	1.000000e-04	0.000000e+00
8.907553e+09	3.646375e-05	3.980202e-06	4.730015e-06	4.626592e-07	0.000000e+00	0.000000e+00
1.055199e+10	1.272846e-04	1.965361e-05	9.732667e-06	1.042999e-06	1.200000e-04	0.000000e+00
1.250000e+10	3.666016e-04	7.564364e-05	2.914243e-05	3.897247e-06	4.400000e-04	0.000000e+00
