# Potencia media	BER_teo_H	BER_teo_S	BER_est_H	BER_est_S	BER_count_H	BER_count_S
-6.502060e+01	4.485854e-01	3.966502e-01	1.721195e-01	5.090698e-02	4.140600e-01	3.729900e-01
-6.402060e+01	4.406727e-01	3.701082e-01	1.715857e-01	5.126788e-02	3.889000e-01	3.407800e-01
-6.302060e+01	4.275214e-01	3.375785e-01	1.721998e-01	5.303870e-02	3.621100e-01	3.046500e-01
-6.202060e+01	4.074717e-01	2.985550e-01	1.688174e-01	5.385675e-02	3.273600e-01	2.606900e-01
-6.102060e+01	3.788934e-01	2.532186e-01	1.668334e-01	5.604087e-02	2.933200e-01	2.109400e-01
-6.002060e+01	3.404687e-01	2.029409e-01	1.608870e-01	5.608213e-02	2.451000e-01	1.597200e-01
-5.902060e+01	2.917804e-01	1.507152e-01	1.470779e-01	5.144911e-02	1.956600e-01	1.104700e-01
-5.802060e+01	2.342359e-01	1.011183e-01	1.272657e-01	4.312439e-02	1.384200e-01	6.261000e-02
-5.702060e+01	1.719983e-01	5.933592e-02	1.004187e-01	3.133105e-02	9.149000e-02	3.186000e-02
-5.602060e+01	1.120482e-01	2.923956e-02	6.524402e-02	1.655026e-02	5.064000e-02	1.187000e-02
-5.502060e+01	6.234525e-02	1.150618e-02	3.715195e-02	7.369019e-03	2.343000e-02	3.350000e-03
-5.402060e+01	2.828372e-02	3.398880e-03	1.621732e-02	2.207078e-03	8.850000e-03	5.300000e-04
-5.302060e+01	9.878429e-03	6.986238e-04	4.908227e-03	3.944609e-04	2.570000e-03	0.000000e+00
-5.202060e+01	2.469546e-03	9.102409e-05	1.184106e-03	5.709158e-05	5.300000e-04	0.000000e+00
-5.102060e+01	4.018971e-04	6.699315e-06	1.815460e-04	4.575275e-06	0.000000e+00	0.000000e+00
-5.002060e+01	3.760543e-05	2.413536e-07	1.870533e-05	2.365732e-07	0.000000e+00	0.000000e+00
-4.902060e+01	1.722494e-06	3.558533e-09	8.357619e-07	4.071209e-09	0.000000e+00	0.000000e+00
-4.802060e+01	3.142618e-08	1.716893e-11	2.274109e-08	3.711986e-11	0.000000e+00	0.000000e+00
-4.702060e+01	1.756018e-10	2.161234e-14	2.154206e-10	8.533914e-14	0.000000e+00	0.000000e+00
-4.602060e+01	2.152352e-13	2.960595e-16	8.792966e-13	3.700743e-16	0.000000e+00	0.000000e+00
